category,language_code,word,pronunciation,meaning,remarks
General,en,serendipity,seh-ren-DIP-i-tee,pleasant surprise by chance,Example: Finding this cafe was pure serendipity.
General,en,ambiguous,am-BIG-yoo-us,having more than one possible meaning,Often used in legal or academic writing.
Study,en,nevertheless,nev-er-the-LESS,in spite of that; however,Good transition word for essays.
Study,th,สวัสดี,sà-wàt-dee,hello / goodbye (general greeting),Use ครับ/ค่ะ for politeness.
Study,th,ขอบคุณ,khòp-khun,thank you,Add มาก for "thank you very much".
Travel,ja,こんにちは,konnichiwa,hello (daytime greeting),Used from late morning to evening.
Travel,ja,ありがとう,arigatou,thank you,Use ありがとうございます for polite form.
Travel,ko,안녕하세요,annyeonghaseyo,hello (formal),Standard polite greeting.
Travel,ko,감사합니다,gamsahamnida,thank you (formal),Used in daily conversation and business.
Work,en,deadline,DED-line,latest time something must be finished,Track in Journey notes if needed.
Work,en,prioritize,prai-OR-i-tize,decide order of importance,Pair with category Work for review.
